Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Jul 15, 2024",130.56,131.39,127.18,128.44,128.43,208326200
"Jul 12, 2024",128.26,131.92,127.22,129.24,129.23,252680500
"Jul 11, 2024",135.75,136.15,127.05,127.40,127.39,374782700
"Jul 10, 2024",134.03,135.10,132.42,134.91,134.90,248978600
"Jul 9, 2024",130.35,133.82,128.65,131.38,131.37,285366600
"Jul 8, 2024",127.49,130.77,127.04,128.20,128.19,237677300
"Jul 5, 2024",127.38,128.85,125.68,125.83,125.82,214176700
"Jul 3, 2024",121.66,128.28,121.36,128.28,128.27,215749000
"Jul 2, 2024",121.13,123.41,121.03,122.67,122.66,218374000
"Jul 1, 2024",123.47,124.84,118.83,124.30,124.29,284885500
"Jun 28, 2024",124.58,127.71,122.75,123.54,123.53,315516700
"Jun 27, 2024",124.10,126.41,122.92,123.99,123.98,252571700
"Jun 26, 2024",126.13,128.12,122.60,126.40,126.39,362975900
"Jun 25, 2024",121.20,126.50,119.32,126.09,126.08,425787500
"Jun 24, 2024",123.24,124.46,118.04,118.11,118.10,476060900
"Jun 21, 2024",127.12,130.63,124.30,126.57,126.56,655484700
"Jun 20, 2024",139.80,140.76,129.52,130.78,130.77,517768400
"Jun 18, 2024",131.14,136.33,130.69,135.58,135.57,294335100
"Jun 17, 2024",132.99,133.73,129.58,130.98,130.97,288504400
"Jun 14, 2024",129.96,132.84,128.32,131.88,131.87,309320400
"Jun 13, 2024",129.39,129.80,127.16,129.61,129.60,260704500
"Jun 12, 2024",123.06,126.88,122.57,125.20,125.19,299595000
"Jun 11, 2024",0.01 Dividend,0.01 Dividend,0.01 Dividend,0.01 Dividend,0.01 Dividend,0.01 Dividend
"Jun 11, 2024",121.77,122.87,118.74,120.91,120.90,222551200
"Jun 10, 2024",10:1 Stock Splits,10:1 Stock Splits,10:1 Stock Splits,10:1 Stock Splits,10:1 Stock Splits,10:1 Stock Splits
"Jun 10, 2024",120.37,123.10,117.01,121.79,121.77,314162700
"Jun 7, 2024",119.77,121.69,118.02,120.89,120.87,412386000
"Jun 6, 2024",124.05,125.59,118.32,121.00,120.98,664696000
"Jun 5, 2024",118.37,122.45,117.47,122.44,122.42,528402000
"Jun 4, 2024",115.72,116.60,114.04,116.44,116.42,403324000
"Jun 3, 2024",113.62,115.00,112.00,115.00,114.98,438392000
"May 31, 2024",112.52,112.72,106.94,109.63,109.61,613263000
"May 30, 2024",114.65,115.82,109.66,110.50,110.48,487350000
"May 29, 2024",113.05,115.49,110.90,114.82,114.81,557442000
"May 28, 2024",110.24,114.94,109.88,113.90,113.88,652728000
"May 24, 2024",104.45,106.47,103.00,106.47,106.45,429494000
"May 23, 2024",102.03,106.32,101.52,103.80,103.78,835065000
"May 22, 2024",95.46,96.02,93.25,94.95,94.93,548648000
"May 21, 2024",93.60,95.40,93.18,95.39,95.37,328946000
"May 20, 2024",93.75,95.20,93.44,94.78,94.76,318764000
"May 17, 2024",94.37,94.74,91.81,92.48,92.46,359691000
"May 16, 2024",94.91,95.82,94.10,94.36,94.34,323952000
"May 15, 2024",92.47,94.86,91.60,94.63,94.61,417735000
"May 14, 2024",89.60,91.65,88.93,91.36,91.34,296507000
"May 13, 2024",90.48,91.00,88.53,90.40,90.38,289680000
"May 10, 2024",90.31,91.40,89.23,89.88,89.86,335325000
"May 9, 2024",90.53,91.07,88.23,88.75,88.73,378013000
"May 8, 2024",89.48,91.19,89.42,90.41,90.40,325721000
"May 7, 2024",91.10,91.78,89.01,90.55,90.54,437342000
"May 6, 2024",89.39,92.22,89.06,92.14,92.12,376203000
"May 3, 2024",87.79,89.28,87.04,88.79,88.77,398341000
"May 2, 2024",84.45,86.24,83.20,85.82,85.80,377898000
"May 1, 2024",85.08,86.00,81.25,83.04,83.03,559863000
"Apr 30, 2024",87.24,88.82,86.30,86.40,86.39,363709000
"Apr 29, 2024",87.60,87.99,85.27,87.76,87.74,388971000
"Apr 26, 2024",83.82,88.33,83.39,87.74,87.72,551011000
"Apr 25, 2024",78.87,83.32,78.22,82.63,82.62,424641000
"Apr 24, 2024",83.95,84.08,79.18,79.68,79.66,512208000
"Apr 23, 2024",80.77,82.77,80.26,82.42,82.41,438559000
"Apr 22, 2024",78.10,80.07,76.40,79.52,79.50,596341000
"Apr 19, 2024",83.15,84.32,75.61,76.20,76.19,875198000
"Apr 18, 2024",84.97,86.19,82.40,84.67,84.66,447260000
"Apr 17, 2024",88.34,88.78,83.95,84.04,84.02,495400000
"Apr 16, 2024",86.43,88.12,86.06,87.42,87.40,370453000
"Apr 15, 2024",89.10,90.61,85.93,86.00,85.99,443077000
"Apr 12, 2024",89.70,90.18,87.53,88.19,88.17,426805000
"Apr 11, 2024",87.42,90.74,86.93,90.62,90.60,431637000
"Apr 10, 2024",83.93,87.40,83.71,87.04,87.02,431929000
"Apr 9, 2024",87.44,87.64,83.02,85.35,85.34,503547000
"Apr 8, 2024",88.70,88.83,86.73,87.13,87.12,283220000
"Apr 5, 2024",86.87,88.48,85.93,88.01,87.99,399678000
"Apr 4, 2024",90.41,90.63,85.88,85.90,85.89,434965000
"Apr 3, 2024",88.48,90.37,88.40,88.96,88.95,370067000
"Apr 2, 2024",88.45,90.09,87.62,89.45,89.44,433064000
"Apr 1, 2024",90.30,92.22,89.20,90.36,90.35,452441000
"Mar 28, 2024",90.00,91.30,89.19,90.36,90.34,435212000
"Mar 27, 2024",93.11,93.24,89.12,90.25,90.23,586067000
"Mar 26, 2024",95.85,96.38,92.50,92.56,92.55,513648000
"Mar 25, 2024",93.94,96.77,93.51,95.00,94.99,552136000
"Mar 22, 2024",91.14,94.78,90.83,94.29,94.27,586719000
"Mar 21, 2024",92.30,92.65,90.40,91.43,91.42,480372000
"Mar 20, 2024",89.80,90.41,88.22,90.37,90.36,479063000
"Mar 19, 2024",86.70,90.54,85.01,89.40,89.38,672171000
"Mar 18, 2024",90.39,92.40,87.08,88.46,88.44,668976000
"Mar 15, 2024",86.93,89.55,86.26,87.84,87.82,642086000
"Mar 14, 2024",89.58,90.65,86.60,87.94,87.93,602318000
"Mar 13, 2024",91.06,91.50,88.43,90.89,90.87,635713000
"Mar 12, 2024",88.05,91.96,86.15,91.91,91.90,668075000
"Mar 11, 2024",86.43,88.80,84.17,85.77,85.76,678364000
"Mar 8, 2024",95.14,97.40,86.51,87.53,87.51,1142269000
"Mar 7, 2024",90.16,92.77,89.60,92.67,92.65,608119000
"Mar 6, 2024",88.02,89.72,87.03,88.70,88.69,582520000
"Mar 5, 2024",0.00 Dividend,0.00 Dividend,0.00 Dividend,0.00 Dividend,0.00 Dividend,0.00 Dividend
"Mar 5, 2024",85.27,86.10,83.42,85.96,85.95,520639000
"Mar 4, 2024",84.13,87.69,83.72,85.24,85.22,615616000
"Mar 1, 2024",80.00,82.30,79.43,82.28,82.26,479135000
"Feb 29, 2024",79.09,79.99,78.35,79.11,79.10,507289000
"Feb 28, 2024",77.62,78.93,77.13,77.66,77.65,393110000
"Feb 27, 2024",79.38,79.48,77.16,78.70,78.68,391705000
"Feb 26, 2024",79.70,80.65,78.50,79.09,79.08,503973000
"Feb 23, 2024",80.79,82.39,77.57,78.82,78.80,829388000
"Feb 22, 2024",75.03,78.57,74.22,78.54,78.52,865100000
"Feb 21, 2024",68.01,68.89,66.25,67.47,67.46,690298000
"Feb 20, 2024",71.95,71.96,67.73,69.45,69.44,704833000
"Feb 16, 2024",74.10,74.40,72.50,72.61,72.60,495327000
"Feb 15, 2024",73.87,73.97,72.40,72.66,72.64,420122000
"Feb 14, 2024",73.20,74.24,71.94,73.90,73.88,504917000
"Feb 13, 2024",70.40,73.45,69.62,72.13,72.11,602580000
"Feb 12, 2024",72.60,74.61,71.25,72.25,72.23,613710000
"Feb 9, 2024",70.53,72.18,70.21,72.13,72.12,436637000
"Feb 8, 2024",70.07,70.79,69.46,69.64,69.63,414422000
"Feb 7, 2024",68.32,70.22,67.60,70.10,70.08,495575000
"Feb 6, 2024",69.63,69.75,66.30,68.22,68.21,683111000
"Feb 5, 2024",68.22,69.50,67.21,69.33,69.32,680078000
"Feb 2, 2024",63.97,66.60,63.69,66.16,66.15,476578000
